chain_id_x,address,name,tx_count,chain_id_y,key1,key2,key3
1,0x0000000000000000000000000000000000000000,Ethereum Miner,62276.0,,,,
1,0x1530df3e1c69501d4ecb7e58eb045b90de158873,Bite: BitcoinEOS,52991.0,,,,
1,0xd588b586d61c826a0e87919b3d1a239206d58bf2,Etherid: EtherId,39402.0,,,,
1,0x65784d6f23de30a17122e96c0f0986c378ed6947,Boredapeyogaclub_v2: BoredApeYogaClub,33729.0,,,,
1,0xf4a2eff88a408ff4c4550148151c33c93442619e,Plus Token Ponzi 1,33039.0,,,,
1,0xf4dd946d1406e215a87029db56c69e1bcf3e1773,Proof_of_merge: ProofOfMerge,32065.0,,,,
1,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,27827.0,,,,
1,0xccb9d89e0f77df3618eec9f6bf899be3b5561a89,Rememberme: RememberMe,27449.0,,,,
1,0xca21d4228cdcc68d4e23807e5e370c07577dd152,Zorbs: ZorbNFT,26422.0,,,,
1,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,Nagacoin: NAGACoin,26322.0,,,,
1,0xe6949137b24ad50cce2cf6b124b3b874449a41fa,X2y2: X2Y2Drop,22651.0,,,,
1,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Ethereum Miner,22038.0,,,,
1,0x52ec2f3d7c5977a8e558c8d9c6000b615098e8fc,Teleportr: TeleportrDeposit,20902.0,,,,
1,0xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,Goblin_town: GOBLIN,19959.0,,,,
1,0x1c7e83f8c581a967940dbfa7984744646ae46b29,Rnd: token,19304.0,,,,
1,0xcca8050215e585e2a223c6ea9d1d1f9b30beaf3e,Simeji_nft: SimejiNFT,19206.0,,,,
1,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,Gnosis_safe: Safev1.1.1,19181.0,,,,
1,0x8d8812b72d1e4ffcec158d25f56748b7d67c1e78,Loopring: LoopringProtocolImpl,19011.0,,,,
1,0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,P3d: Hourglass,18967.0,,,,
1,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,Generalizedfrontrunner_0: generalizedfrontrunner_0,18459.0,,,,
1,0x816840b298c3a326330236ac1368d3887d27a7cb,Zora: ERC721Drop,17414.0,,,,
1,0x74ae547220302d61aff9911b41509cb34e435610,Vpad: Launchpad,17179.0,,,,
1,0xc4a5025c4563ad0acc09d92c2506e6744dad58eb,Prometheans: Prometheans,16769.0,,,,
1,0xc97d6c52f3add91fa1c5287a453d7444aecbca83,Burb: DZooToken,16761.0,,,,
1,0x6eff3372fa352b239bb24ff91b423a572347000d,BIKI 1,16647.0,,,,
1,0x18cd9fda7d584401d04e30bf73fb0013efe65bb0,Gooniezgang: Gooniez,16554.0,,,,
1,0xc86664e7d2608f881f796ee8e24fa9d4d7598406,Wagmiarmy: Wagmi,16489.0,,,,
1,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,Meebits: Meebits,15909.0,,,,
1,0xd945f759d422ae30a6166838317b937de08380e3,Zora: ERC721Drop,15649.0,,,,
1,0xe2ce4e3af905c895b4e02d954fe66549e60c27c9,Pieceofshit: spinner,15581.0,,,,
1,0x39755357759ce0d7f32dc8dc45414cca409ae24e,Oasisdex: eth2dai,14987.0,,,,
1,0x7140400c663da4c4fe6adbc26340fc17827c5481,Dragon_town_wtf: DragonTownWTF,14739.0,,,,
1,0x7bc25283a29a3888cab4555ea86ff1a8c18cc90a,Setinmerge: SetInMergeERC721,14374.0,,,,
1,0x89e0b4b0e40953d89cc9928d2acde1c7c2a4e1b8,Ppapenft: PPAPECollection,14179.0,,,,
1,0x5d5092c22c5d0fd3fec42b6b2ce796d5b33421c6,Dookeydash_v2: JimmyTheMonkeyBuffsV2,13760.0,,,,
1,0xefb2e870b14d7e555a31b392541acf002dae6ae9,Unidentified ETH staker,13700.0,,,,
1,0x6e0418050387c6c3d4cd206d8b89788bbd432525,Hobo_town_wtf: HoboTownWTF,13662.0,,,,
1,0xd923af5d509042a3b24b711caaba8c408d4d4c23,Keungz_kubzauction: KubzAuction,13546.0,,,,
1,0xb9352485e9867b4956ec1feb05bf276ad6fbc91a,Apecoin_dookeydash: JimmyTheMonkeyBuffs,13482.0,,,,
1,0x659a4bdaaacc62d2bd9cb18225d9c89b5b697a5a,Wagdie: WAGDIE,13097.0,,,,
1,0x85da3727b0be6096654691d26939f62526ad7ffe,Syndicate_v2: ERC20ClubFactory,13015.0,,,,
1,0xf497b83cfbd31e7ba1ab646f3b50ae0af52d03a1,Ampleforth: ForthClaim,12929.0,,,,
1,0x1a9a4d919943340b7e855e310489e16155f4ed29,Hashflow: HFTClaimer,12727.0,,,,
1,0x7fdf19aa8e0821f2ef5eaea44f73c904722cf674,Barr: barrrr,12545.0,,,,
1,0xa342f5d851e866e18ff98f351f2c6637f4478db5,Sandbox: Asset,12487.0,,,,
1,0x9d55ec4dd724235a8b32972150440046344acb5d,Thirdweb: DropERC721,12355.0,,,,
1,0xfe80804d2e3ab78a13ce90f45b2803cf9bbd1f51,Gnosis_safe: Safev1.1.1,12078.0,,,,
1,0x4c4564a1fe775d97297f9e3dc2e762e0ed5dda0e,Sushi: KashiPairMediumRiskV1,11967.0,,,,
1,0x258432c72a28dd11318fc0373e75e87ce65765e3,Influenceasteroids: ArvadCrewSale,11945.0,,,,
1,0xb3203db25a01fa7950a860b42b899ad7da52ddd6,Plexcoin: PlexCoin,11941.0,,,,
1,0xcc7187ddbe8f099d31bac88d8d67f793001d718e,Etherdomains: Ether,11850.0,,,,
1,0xa9cb55d05d3351dcd02dd5dc4614e764ce3e1d6e,Themetareserve: WeMintCash,11843.0,,,,
1,0x960b7a6bcd451c9968473f7bbfd9be826efd549a,Onchainmonkey: OnChainMonkey,11815.0,,,,
1,0x92e130d5ed0f14199edfa050071116ca60e99aa5,Galaxy: MerkleDistributor_Airdrop,11754.0,,,,
1,0x340f8999e1f45a7155e4e2be15e20fc64c2d2d13,Zora: ERC721Drop,11640.0,,,,
1,0x1193af965786fc46a63cb4d92c33a48219d1c8b6,Beings_official: BeingsNFT,11273.0,,,,
1,0x8ad0dfd8affea59ff64722e411ad34fec5ddf2d8,Raid_party: Auction,11187.0,,,,
1,0xaa462106da447c0440a4be29614c19387a59a331,Ensmaxisnft: ENSMaxis,11139.0,,,,
1,0xc907ddb25a926d51784aedd4cf9c04e3eb5da12c,Dirt_birds: DirtBirds,11053.0,,,,
1,0x2e541cec5cb41e7678ac3c8e91acb3fc1db0da07,For_the_culture: ForTheCulture,11026.0,,,,
1,0x6109dd117aa5486605fc85e040ab00163a75c662,Ethereumnameservice: RegistrarMigration,10977.0,,,,
1,0x025c6da5bd0e6a5dd1350fda9e3b6a614b205a1f,Apecoin: AirdropGrapesToken,10927.0,,,,
1,0x90085fb517a0b46676b3efc6a56e255cbd0f22b9,Boc_test_v1_1: N4NAP,10757.0,,,,
1,0x696383fc9c5c8568c2e7af8731279b58b9201394,Subwayrats: SubwayRats,10670.0,,,,
1,0x0b7ffc1f4ad541a4ed16b40d8c37f0929158d101,Gnosis_auction: EasyAuction,10639.0,,,,
1,0x77372a4cc66063575b05b44481f059be356964a4,Akcb: AKCB,10552.0,,,,
1,0xca71c5270eff44eb6d813a92c0ba12577bddf208,Manifold: ERC1155LazyClaim,10472.0,,,,
1,0x91364516d3cad16e1666261dbdbb39c881dbe9ee,Number of three letter ENS Domains owned: 1,10454.0,,,,
1,0x671f3b17628b1498db264e8ac77da4e78167ba9e,Freenftxyz: FreeNFTxyzCLT,10406.0,,,,
1,0x341a1c534248966c4b6afad165b98daed4b964ef,Murakamiflowers: MurakamiFlowersSeed,10383.0,,,,
